"id","sell_order_state_id","sell_order_state_name","assigned_warehouse_id","assigned_warehouse_name","creation_date","creation_date2","creation_date3","delivered_date","picked_up_date","picked_up_date2","picked_up_date3","delivery_promise_max","delivery_promise_max2","delivery_promise_max3","pack_promise_max","pack_promise_max2","pack_promise_max3","closed_date","closed_date2","closed_date3","sell_order_id","sell_order_id_with_issue"
16835630668861,6,Picked-up by buyer,2,Medellin #1,"2023-05-08 16:24:27","202305","2023-05-08",,"2023-05-08 17:16:00","202305","2023-05-08",,,,"2023-05-09 15:00:00","202305","2023-05-09","2023-05-08 17:16:54","202305","2023-05-08",,
16872317236343,6,Picked-up by buyer,2,Medellin #1,"2023-06-20 03:28:44","202306","2023-06-20",,"2023-06-20 05:26:24","202306","2023-06-20",,,,"2023-06-20 15:00:00","202306","2023-06-20","2023-06-20 05:26:28","202306","2023-06-20",,
16874503080924,6,Picked-up by buyer,1,Bogota #1,"2023-06-22 16:11:48","202306","2023-06-22",,"2024-01-02 20:19:00","202401","2024-01-02",,,,"2023-06-22 17:11:48","202306","2023-06-22","2024-01-02 20:19:55","202401","2024-01-02",,
167880619306380,6,Picked-up by buyer,1,Bogota #1,"2023-03-14 15:03:13","202303","2023-03-14",,"2023-04-27 20:27:00","202304","2023-04-27",,,,"2023-03-15 15:00:00","202303","2023-03-15","2023-04-27 20:27:29","202304","2023-04-27",,
167880619588082,6,Picked-up by buyer,1,Bogota #1,"2023-03-14 15:03:16","202303","2023-03-14",,"2023-04-27 20:30:00","202304","2023-04-27",,,,"2023-03-14 17:03:16","202303","2023-03-14","2023-04-27 20:30:13","202304","2023-04-27",,
168321828932648,6,Picked-up by buyer,1,Bogota #1,"2023-05-04 16:38:09","202305","2023-05-04",,"2023-05-29 18:38:00","202305","2023-05-29",,,,"2023-05-04 18:38:09","202305","2023-05-04","2023-05-29 18:38:14","202305","2023-05-29",,
168496075792749,6,Picked-up by buyer,1,Bogota #1,"2023-05-24 20:39:18","202305","2023-05-24",,"2023-09-11 15:06:00","202309","2023-09-11","2023-05-27 01:00:00","202305","2023-05-27","2023-05-25 21:00:00","202305","2023-05-25","2023-09-11 15:06:39","202309","2023-09-11",,
168537812598477,6,Picked-up by buyer,1,Bogota #1,"2023-05-29 16:35:26","202305","2023-05-29",,"2023-05-29 17:48:00","202305","2023-05-29",,,,"2023-05-29 18:35:26","202305","2023-05-29","2023-05-29 17:48:12","202305","2023-05-29",,
168617265657184,6,Picked-up by buyer,1,Bogota #1,"2023-06-07 21:17:37","202306","2023-06-07",,"2024-02-06 21:41:21","202402","2024-02-06",,,,"2023-06-08 14:00:00","202306","2023-06-08","2024-02-06 21:41:31","202402","2024-02-06",,
168625451223951,6,Picked-up by buyer,1,Bogota #1,"2023-06-08 20:01:52","202306","2023-06-08",,"2023-09-26 13:53:00","202309","2023-09-26",,,,"2023-06-09 15:00:00","202306","2023-06-09","2023-09-26 13:53:47","202309","2023-09-26",,
168669912870524,6,Picked-up by buyer,1,Bogota #1,"2023-06-13 23:32:09","202306","2023-06-13",,"2024-01-09 19:29:00","202401","2024-01-09",,,,"2023-06-14 14:00:00","202306","2023-06-14","2024-01-09 19:29:19","202401","2024-01-09",,
168859952287454,6,Picked-up by buyer,1,Bogota #1,"2023-07-05 23:25:23","202307","2023-07-05",,"2023-07-10 02:56:00","202307","2023-07-10",,,,"2023-07-06 14:00:00","202307","2023-07-06","2023-07-10 02:56:23","202307","2023-07-10",,
169821019427845,6,Picked-up by buyer,2,Medellin #1,"2023-10-25 05:03:14","202310","2023-10-25",,"2023-10-30 20:43:41","202310","2023-10-30",,,,"2023-10-25 15:00:00","202310","2023-10-25","2023-10-30 20:43:47","202310","2023-10-30",,
170569174702073,6,Picked-up by buyer,2,Medellin #1,"2024-01-19 19:15:47","202401","2024-01-19",,"2024-01-19 21:09:00","202401","2024-01-19",,,,"2024-01-19 21:15:47","202401","2024-01-19","2024-01-19 21:09:34","202401","2024-01-19",,
1678287555292880,6,Picked-up by buyer,2,Medellin #1,"2023-03-08 14:59:15","202303","2023-03-08",,"2023-08-04 16:23:00","202308","2023-08-04","2023-03-23 01:00:00","202303","2023-03-23","2023-03-08 21:00:00","202303","2023-03-08","2023-08-04 16:23:09","202308","2023-08-04",,
1678305537858626,6,Picked-up by buyer,1,Bogota #1,"2023-03-08 19:58:58","202303","2023-03-08",,"2024-02-06 19:56:00","202402","2024-02-06","2023-03-11 01:00:00","202303","2023-03-11","2023-03-08 21:00:00","202303","2023-03-08","2024-02-06 19:56:19","202402","2024-02-06",,
1678805681088593,6,Picked-up by buyer,1,Bogota #1,"2023-03-14 14:54:41","202303","2023-03-14",,"2023-04-27 20:32:00","202304","2023-04-27",,,,"2023-03-14 16:54:41","202303","2023-03-14","2023-04-27 20:32:05","202304","2023-04-27",,
1678805681421780,6,Picked-up by buyer,1,Bogota #1,"2023-03-14 14:54:41","202303","2023-03-14",,"2023-05-09 14:10:00","202305","2023-05-09",,,,"2023-03-15 15:00:00","202303","2023-03-15","2023-05-09 14:10:12","202305","2023-05-09",,
1678911533397501,6,Picked-up by buyer,2,Medellin #1,"2023-03-15 20:18:53","202303","2023-03-15",,"2023-03-17 13:18:00","202303","2023-03-17",,,,"2023-03-15 22:18:53","202303","2023-03-15","2023-03-17 13:19:01","202303","2023-03-17",,
1678911619531563,6,Picked-up by buyer,2,Medellin #1,"2023-03-15 20:20:20","202303","2023-03-15",,"2023-03-17 13:19:00","202303","2023-03-17",,,,"2023-03-15 22:20:19","202303","2023-03-15","2023-03-17 13:19:28","202303","2023-03-17",,
1678989216515660,6,Picked-up by buyer,1,Bogota #1,"2023-03-16 17:53:37","202303","2023-03-16",,"2023-03-16 18:02:00","202303","2023-03-16",,,,"2023-03-16 19:53:36","202303","2023-03-16","2023-03-16 18:02:36","202303","2023-03-16",,
1681231121438912,6,Picked-up by buyer,1,Bogota #1,"2023-04-11 16:38:41","202304","2023-04-11",,"2023-09-26 14:11:00","202309","2023-09-26","2023-04-25 01:00:00","202304","2023-04-25","2023-04-11 21:00:00","202304","2023-04-11","2023-09-26 14:16:10","202309","2023-09-26",,
1681514140214626,6,Picked-up by buyer,1,Bogota #1,"2023-04-14 23:15:40","202304","2023-04-14",,"2023-07-10 02:58:00","202307","2023-07-10","2023-04-28 01:00:00","202304","2023-04-28","2023-04-15 21:00:00","202304","2023-04-15","2023-07-10 02:58:24","202307","2023-07-10",,
1681520243553360,6,Picked-up by buyer,3,Ciudad de Mexico #1,"2023-04-15 00:57:24","202304","2023-04-15",,"2023-04-15 01:13:00","202304","2023-04-15",,,,"2023-04-15 16:00:00","202304","2023-04-15","2023-04-15 01:13:58","202304","2023-04-15",,
1681921187759448,6,Picked-up by buyer,1,Bogota #1,"2023-04-19 16:19:48","202304","2023-04-19",,"2023-05-30 15:05:00","202305","2023-05-30",,,,"2023-04-19 18:19:48","202304","2023-04-19","2023-05-30 15:05:33","202305","2023-05-30",,
1681921188119745,6,Picked-up by buyer,1,Bogota #1,"2023-04-19 16:19:48","202304","2023-04-19",,"2023-05-29 18:39:00","202305","2023-05-29",,,,"2023-04-20 15:00:00","202304","2023-04-20","2023-05-29 18:39:34","202305","2023-05-29",,
1681929951325287,6,Picked-up by buyer,1,Bogota #1,"2023-04-19 18:45:51","202304","2023-04-19",,"2023-04-27 20:28:00","202304","2023-04-27",,,,"2023-04-20 15:00:00","202304","2023-04-20","2023-04-27 20:28:34","202304","2023-04-27",,
1681929951872505,6,Picked-up by buyer,1,Bogota #1,"2023-04-19 18:45:52","202304","2023-04-19",,"2023-04-27 20:28:00","202304","2023-04-27",,,,"2023-04-19 20:45:52","202304","2023-04-19","2023-04-27 20:28:07","202304","2023-04-27",,
1682017838376173,6,Picked-up by buyer,1,Bogota #1,"2023-04-20 19:10:38","202304","2023-04-20",,"2023-09-26 14:16:00","202309","2023-09-26","2023-04-23 01:00:00","202304","2023-04-23","2023-04-20 21:00:00","202304","2023-04-20","2023-09-26 14:16:34","202309","2023-09-26",,
1682028913423130,6,Picked-up by buyer,2,Medellin #1,"2023-04-20 22:15:13","202304","2023-04-20",,"2023-05-03 14:44:00","202305","2023-05-03",,,,"2023-04-21 15:00:00","202304","2023-04-21","2023-05-03 14:45:01","202305","2023-05-03",,
1682605584801380,6,Picked-up by buyer,1,Bogota #1,"2023-04-27 14:26:25","202304","2023-04-27",,"2023-09-28 19:54:00","202309","2023-09-28","2023-05-06 01:00:00","202305","2023-05-06","2023-04-27 21:00:00","202304","2023-04-27","2023-09-28 19:54:11","202309","2023-09-28",,
1682607675777348,6,Picked-up by buyer,1,Bogota #1,"2023-04-27 15:01:16","202304","2023-04-27",,"2023-09-26 15:08:00","202309","2023-09-26","2023-05-10 01:00:00","202305","2023-05-10","2023-04-27 21:00:00","202304","2023-04-27","2023-09-26 15:08:31","202309","2023-09-26",,
1683218289460506,6,Picked-up by buyer,1,Bogota #1,"2023-05-04 16:38:09","202305","2023-05-04",,"2023-05-30 20:23:11","202305","2023-05-30",,,,"2023-05-05 15:00:00","202305","2023-05-05","2023-05-30 21:23:54","202305","2023-05-30",,
1685023071836353,6,Picked-up by buyer,1,Bogota #1,"2023-05-25 13:57:52","202305","2023-05-25",,"2023-10-02 13:41:00","202310","2023-10-02","2023-05-28 01:00:00","202305","2023-05-28","2023-05-25 21:00:00","202305","2023-05-25","2023-10-02 13:42:05","202310","2023-10-02",,
1685377914448908,6,Picked-up by buyer,2,Medellin #1,"2023-05-29 16:31:54","202305","2023-05-29",,"2023-06-14 16:43:00","202306","2023-06-14","2023-06-02 01:00:00","202306","2023-06-02","2023-05-29 21:00:00","202305","2023-05-29","2023-06-14 16:43:09","202306","2023-06-14",,
1685391515701563,6,Picked-up by buyer,1,Bogota #1,"2023-05-29 20:18:36","202305","2023-05-29",,"2023-06-26 19:59:00","202306","2023-06-26","2023-06-11 01:00:00","202306","2023-06-11","2023-05-30 21:00:00","202305","2023-05-30","2023-06-26 19:59:06","202306","2023-06-26",,
1685461054807163,6,Picked-up by buyer,3,Ciudad de Mexico #1,"2023-05-30 15:37:35","202305","2023-05-30",,"2023-08-11 17:15:00","202308","2023-08-11","2023-06-13 02:00:00","202306","2023-06-13","2023-05-30 22:00:00","202305","2023-05-30","2023-08-11 17:16:12","202308","2023-08-11",,
